file,M,R,D,kT_comb_eV,kT_comb_sigma_eV,logT_g1,logTlo_g1,logThi_g1,kT_g1_eV,kTlo_g1_eV,kThi_g1_eV,logT_g2,logTlo_g2,logThi_g2,kT_g2_eV,kTlo_g2_eV,kThi_g2_eV,logT_g3,logTlo_g3,logThi_g3,kT_g3_eV,kTlo_g3_eV,kThi_g3_eV,logT_g4,logTlo_g4,logThi_g4,kT_g4_eV,kTlo_g4_eV,kThi_g4_eV,logT_g5,logTlo_g5,logThi_g5,kT_g5_eV,kTlo_g5_eV,kThi_g5_eV
M18_R14_D73.txt,1.8,14.0,7.3,148.33946310719293,0.9199977905561177,6.2676,6.26116,6.27318,159.57795267414525,157.22908568706993,161.64150632089016,6.26383,6.25837,6.26892,158.1986921976077,156.22225016900188,160.06371371002564,6.23697,6.23065,6.24282,148.710929772759,146.56250828183278,150.72763640739484,6.20957,6.20254,6.21597,139.61847463821962,137.37663964359197,141.6912034358755,6.19828,6.19177,6.20431,136.0356978776525,134.01175322409898,137.93767101244663
M18_R16_D73.txt,1.8,16.0,7.3,138.68510636140533,0.8505871709237897,6.2379,6.23144,6.24343,149.02972118171442,146.8293543012819,150.93949371480892,6.23446,6.22898,6.23948,147.85393553160173,146.0000111447842,149.57289134283275,6.20757,6.20124,6.21337,138.9769860172404,136.9660366682317,140.84547180422942,6.18154,6.17475,6.18763,130.891935278874,128.86141292400202,132.7403287614664,6.1705,6.16388,6.17631,127.60652702093937,125.67615607832155,129.32511966511115
M20_R10_D73.txt,2.0,10.0,7.3,191.11805279100574,1.177293315525429,6.37706,6.37061,6.38247,205.32077219373707,202.2939473938054,207.89444687850383,6.37299,6.36765,6.37806,203.4055922893711,200.91987020695015,205.7940854559816,6.34671,6.34052,6.35253,191.46213125315097,188.75257667892464,194.04519314355247,6.31914,6.31221,6.32555,179.68544061967899,176.84097021309705,182.3571889655471,6.30788,6.30121,6.31397,175.08659180852945,172.41811348165868,177.55908115249616
M20_R12_D73.txt,2.0,12.0,7.3,167.15118278441616,1.0386423088209165,6.31903,6.31262,6.32459,179.6399348709995,177.0079975091326,181.95453692986135,6.31517,6.30975,6.32026,178.0503734573898,175.84211103311517,180.14942858976278,6.28851,6.28222,6.29435,167.4491274853261,165.04139618331968,169.71603967029296,6.26092,6.25392,6.26735,157.14222168695733,154.6296913239442,159.48611865488738,6.24953,6.2428,6.25565,153.07451388653803,150.72069530304697,155.24688286885876
M20_R14_D73.txt,2.0,14.0,7.3,152.0525833411795,0.945453383997483,6.27778,6.27133,6.28333,163.3626948356151,160.95441314629076,165.463759969769,6.27414,6.26867,6.2792,161.99920711071164,159.9716001447053,163.8977112611215,6.24729,6.24096,6.25312,152.28702020599178,150.08347922469778,154.3451150910685,6.2201,6.2131,6.22648,143.04506813880562,140.75793567294266,145.16198187794552,6.20871,6.20196,6.2148,139.342272459622,137.19329568522127,141.30999757358896
M20_R16_D73.txt,2.0,16.0,7.3,141.25660350522975,0.8653731263804538,6.24595,6.23949,6.25147,151.81786823169756,149.57633542558315,153.75982956665626,6.24258,6.2371,6.2476,150.64436424837544,148.75545097993563,152.39576169628847,6.21567,6.20932,6.22146,141.5933604176954,139.53812691177077,143.49371812989156,6.18952,6.18274,6.19558,133.31925832069032,131.25410318466487,135.19259020575103,6.1785,6.17189,6.18428,129.9789094830238,128.01559789926145,131.7203539159765
M22_R10_D73.txt,2.2,10.0,7.3,201.6877155903813,1.2375049267873106,6.40016,6.39363,6.40569,216.53738559377007,213.30591022529185,219.31224921235545,6.3964,6.39104,6.40138,214.67075758154235,212.03760440543462,217.14652760248512,6.37021,6.36403,6.37595,202.10771355975191,199.2520915742906,204.7966691587505,6.34337,6.33651,6.34967,189.99531364501476,187.01777636128256,192.7715276131559,6.3322,6.32554,6.33818,185.1709646070368,182.35299008443968,187.738303455463
M22_R12_D73.txt,2.2,12.0,7.3,173.2084332211216,1.0709928935913973,6.33408,6.32768,6.33959,185.97428125241387,183.25375775463948,188.3488135947136,6.33044,6.32502,6.33548,184.42206855238115,182.13478144209216,186.57475883870023,6.30387,6.29756,6.30965,173.4773937756942,170.97510886594551,175.80162655188374,6.2767,6.26975,6.28309,162.95695051920285,160.36991127742644,165.3723465776359,6.26534,6.25861,6.2714,158.7496911126364,156.30860563356475,160.98035802341
M22_R14_D73.txt,2.2,14.0,7.3,156.07771921400163,0.9681893078405119,6.28888,6.28244,6.29441,167.59184764234482,165.12502217157385,169.73948842741777,6.28538,6.27992,6.29042,166.2466447350242,164.1696562896417,168.18718005199278,6.25856,6.25221,6.26436,156.29061097617847,154.02204626811516,158.39187100215537,6.23164,6.22466,6.238,146.89698728964316,144.554923742831,149.0640404941605,6.22023,6.21347,6.22628,143.0878930954106,140.87790640663687,145.0951477051555
M22_R16_D73.txt,2.2,16.0,7.3,144.12918532446486,0.8836069885870242,6.25465,6.24817,6.26014,154.88982494651273,152.5959084103839,156.86024497718188,6.25136,6.24587,6.25636,153.7208895382537,151.78990492247345,155.50089354745276,6.22443,6.21806,6.23021,144.47838850806048,142.37472195038657,146.41409551121976,6.19812,6.19135,6.20432,135.98558970527822,133.88221501606262,137.94084718126373,6.18711,6.18051,6.19285,132.58148800480845,130.5818715939052,134.34542728359676
